Tangential Velocity,Orbital Period 1,Orbital Period 2,Orbital Period 3,Orbital Period 4,Orbital Period 5,Average Orbital Period,Absolute Uncertainty Orbital Period,Theoretical Period
-9805.11,17931.29,17931.29,17931.28,17931.29,17931.29,17931.29,0.005,17931.28596
-9707.06,16176.48,16176.47,16176.47,16176.47,16176.47,16176.47,0.005,16176.47105
-9609.00,14704.10,14704.10,14704.09,14704.10,14704.09,14704.10,0.005,14704.09593
-9510.95,13454.17,13454.17,13454.16,13454.17,13454.17,13454.17,0.005,13454.16653
-9412.90,12382.17,12382.16,12382.16,12382.16,12382.16,12382.16,0.005,12382.16201
-9314.85,11454.42,11454.42,11454.42,11454.42,11454.42,11454.42,0.000,11454.41858
-9216.80,10645.06,10645.06,10645.06,10645.06,10645.05,10645.06,0.005,10645.05758
-9118.75,9933.90,9933.89,9933.89,9933.89,9933.89,9933.89,0.005,9933.890841
-9020.70,9304.97,9304.96,9304.96,9304.96,9304.96,9304.96,0.005,9304.961343
-8922.65,8745.51,8745.51,8745.50,8745.51,8745.51,8745.51,0.005,8745.506592
-8824.60,8245.21,8245.21,8245.21,8245.21,8245.21,8245.21,0.000,8245.209531
-8726.54,7795.65,7795.65,7795.65,7795.65,7795.65,7795.65,0.000,7795.648634
-8628.49,7389.89,7389.89,7389.89,7389.89,7389.89,7389.89,0.000,7389.888497
-8530.44,7022.18,7022.17,7022.17,7022.17,7022.17,7022.17,0.005,7022.17104
-8432.39,6687.68,6687.68,6687.68,6687.68,6687.68,6687.68,0.000,6687.679826
-8334.34,6382.36,6382.36,6382.36,6382.36,6382.36,6382.36,0.000,6382.358219
-8236.29,6102.77,6102.77,6102.77,6102.77,6102.76,6102.77,0.005,6102.767667
-8138.24,5845.98,5845.98,5845.97,5845.98,5845.98,5845.98,0.005,5845.976221
-8040.19,5609.48,5609.47,5609.47,5609.47,5609.47,5609.47,0.005,5609.470077
-7942.14,5391.09,5391.08,5391.08,5391.09,5391.08,5391.08,0.005,5391.082837
-7844.08,5188.94,5188.94,5188.94,5188.94,5188.94,5188.94,0.000,5188.938489
-7746.03,5001.41,5001.41,5001.40,5001.41,5001.40,5001.41,0.005,5001.405152
-7647.98,4827.06,4827.06,4827.06,4827.05,4827.06,4827.06,0.005,4827.057279
-7549.93,4664.65,4664.64,4664.65,4664.64,4664.65,4664.65,0.005,4664.644603
-7451.88,4513.07,4513.07,4513.06,4513.07,4513.07,4513.07,0.005,4513.066461
