vel_tan,time_1,time_2,time_3,time_4,time_5
-9805.1062138625,17931.290000063527,35862.579998319045,53793.86000197213,71725.150001122,89656.43999172836
-9707.055151723875,16176.480000306676,32352.949997755037,48529.42000089962,64705.8900041952,80882.35999632483
-9609.00408958525,14704.100000274537,29408.199998226406,44112.28999999973,58816.39000299535,73520.48000018149
-9510.953027446625,13454.170000247253,26908.33999862656,40362.4999992358,53816.670001976774,67270.84000345548
-9412.901965308,12382.170000223854,24764.329998969755,37146.48999858061,49528.65000110319,61910.81000362577
-9314.850903169376,11454.420000203603,22908.839999266766,34363.25999801359,45817.680000347165,57272.10000268074
-9216.79984103075,10645.060000185937,21290.119999525876,31935.17999782191,42580.23999968761,53225.290001856294
-9118.748778892124,9933.900000170413,19867.78999975355,29801.67999816342,39735.56999910808,49669.460001131876
-9020.6977167535,9304.970000156685,18609.929999954897,27914.88999846544,37219.84999859556,46524.81000049123
-8922.646654614875,8745.510000144473,17491.020000134,26236.5199987341,34982.02999813965,43727.53999992135
-8824.59559247625,8245.210000133553,16490.42000029417,24735.62999897435,32980.83999773196,41226.04999941173
-8726.544530337625,7795.650000123741,15591.300000293902,23386.949999190234,31182.599997942376,38978.24999895379
-8628.493468199,7389.890000114884,14779.780000276189,22169.669999385085,29559.559998202178,36949.44999854047
-8530.442406060376,7022.180000106858,14044.350000260136,21066.519999561668,28088.68999843762,35110.8599981659
-8432.39134392175,6687.680000099556,13375.360000245533,20063.039999722296,26750.71999865179,33438.399997825174
-8334.340281783125,6382.360000092892,12764.720000232204,19147.079999868914,25529.439998847283,31911.799997825652
-8236.289219644501,6102.770000086789,12205.540000219999,18308.310000003177,24411.0799990263,30513.839998049425
-8138.238157505875,5845.980000081184,11691.960000208788,17537.930000126493,23383.90999919072,29229.88999825495
-8040.187095367251,5609.4800000760215,11218.950000198463,16828.420000240065,22437.88999934215,28047.359998444237
-7942.136033228625,5391.0900000712545,10782.17000018893,16173.250000306605,21564.33999948198,26955.419998619025
-7844.08497109,5188.940000066842,10377.880000180105,15566.820000293368,20755.75999961141,25944.699998780812
-7746.033908951375,5001.410000062749,10002.820000171918,15004.220000281088,20005.629999731485,25007.029998930906
-7647.982846812751,4827.060000058943,9654.120000164306,14481.180000269671,19308.22999984312,24135.289999070446
-7549.931784674125,4664.650000055398,9329.290000157216,13993.940000259036,18658.57999994711,23323.229999200434
-7451.8807225355,4513.070000052089,9026.140000150599,13539.20000024911,18052.270000044162,22565.33999932175
-7353.829660396876,4371.360000048996,8742.710000144412,13114.06000023983,17485.4100001349,21856.759999435173
-7255.77859825825,4238.640000046099,8477.270000138618,12715.910000231139,16954.540000219877,21193.179999541393
-7157.727536119625,4114.160000043382,8228.310000133184,12342.460000222987,16456.61000029958,20570.769999641023
-7059.6764739810005,3997.23000004083,7994.45000012808,11991.67000021533,15988.890000302581,19986.10999973461
